quantile_value,income
0.0000000000,96.0000000000
0.0001000100,360.0000000000
0.0002000200,480.0000000000
0.0003000300,480.0000000000
0.0004000400,480.0000000000
0.0005000500,482.2372540088
0.0006000600,600.0000000000
0.0007000700,600.0000000000
0.0008000800,600.0000000000
0.0009000900,600.0000000000
0.0010001000,696.2276627347
0.0011001100,720.0000000000
0.0012001200,864.0000000000
0.0013001300,900.0000000000
0.0014001400,960.0000000000
0.0015001500,1080.0000000000
0.0016001600,1140.0000000000
0.0017001700,1164.0000000000
0.0018001800,1164.0000000000
0.0019001900,1176.0000000000
0.0020002000,1176.0000000000
0.0021002100,1536.0000000000
0.0022002200,2400.0000000000
0.0023002300,3600.0000000000
0.0024002400,3600.0000000000
0.0025002500,4197.7148188839
0.0026002600,4356.0000000000
0.0027002700,4800.0000000000
0.0028002800,4800.0000000000
0.0029002900,4800.0000000000
0.0030003000,4800.0000000000
0.0031003100,4800.0000000000
0.0032003200,4836.0000000000
0.0033003300,5400.0000000000
0.0034003400,5880.0000000000
0.0035003500,6000.0000000000
0.0036003600,6000.0000000000
0.0037003700,6000.0000000000
0.0038003800,6000.0000000000
0.0039003900,6000.0000000000
0.0040004000,6000.0000000000
0.0041004100,6140.1504528354
0.0042004200,6824.6296880144
0.0043004300,7200.0000000000
0.0044004400,7200.0000000000
0.0045004500,7200.0000000000
0.0046004600,7200.0000000000
0.0047004700,7200.0000000000
0.0048004800,7200.0000000000
0.0049004900,7601.2389289352
0.0050005001,7800.0000000000
0.0051005101,8220.0000000000
0.0052005201,8400.0000000000
0.0053005301,8400.0000000000
0.0054005401,8400.0000000000
0.0055005501,8880.0000000000
0.0056005601,9000.0000000000
0.0057005701,9000.0000000000
0.0058005801,9160.2867187917
0.0059005901,9360.4202630067
0.0060006001,9600.0000000000
0.0061006101,9600.0000000000
0.0062006201,9600.0000000000
0.0063006301,9600.0000000000
0.0064006401,9600.0000000000
0.0065006501,9600.0000000000
0.0066006601,9600.0000000000
0.0067006701,9840.0000000000
0.0068006801,10080.0000000000
0.0069006901,10200.0000000000
0.0070007001,10418.3942172380
0.0071007101,10684.1315396709
0.0072007201,10800.0000000000
0.0073007301,10800.0000000000
0.0074007401,10800.0000000000
0.0075007501,10800.0000000000
0.0076007601,10800.0000000000
0.0077007701,11099.8327178693
0.0078007801,11227.2924521034
0.0079007901,11400.0000000000
0.0080008001,11900.2952583814
0.0081008101,12000.0000000000
0.0082008201,12000.0000000000
0.0083008301,12000.0000000000
0.0084008401,12000.0000000000
0.0085008501,12000.0000000000
0.0086008601,12000.0000000000
0.0087008701,12000.0000000000
0.0088008801,12000.0000000000
0.0089008901,12360.0000000000
0.0090009001,12600.0000000000
0.0091009101,12821.3764665978
0.0092009201,12900.0000000000
0.0093009301,13080.0000000000
0.0094009401,13200.0000000000
0.0095009501,13500.0000000000
0.0096009601,13500.0000000000
0.0097009701,13500.0000000000
0.0098009801,13500.0000000000
0.0099009901,13680.0000000000
0.0100010001,13740.0000000000
0.0101010101,14100.0000000000
0.0102010201,14280.0000000000
0.0103010301,14400.0000000000
0.0104010401,14400.0000000000
0.0105010501,14400.0000000000
0.0106010601,14400.0000000000
0.0107010701,14400.0000000000
0.0108010801,14400.0000000000
0.0109010901,14400.0000000000
0.0110011001,14400.0000000000
0.0111011101,14400.0000000000
0.0112011201,14537.7762986196
0.0113011301,15000.0000000000
0.0114011401,15422.7182718272
0.0115011501,15600.0000000000
0.0116011601,15600.0000000000
0.0117011701,15600.0000000000
0.0118011801,16453.2769764539
0.0119011901,16800.0000000000
0.0120012001,16800.0000000000
0.0121012101,17344.3738939801
0.0122012201,18000.0000000000
0.0123012301,18000.0000000000
0.0124012401,18000.0000000000
0.0125012501,18000.0000000000
0.0126012601,18000.0000000000
0.0127012701,18000.0000000000
0.0128012801,18000.0000000000
0.0129012901,18000.0000000000
0.0130013001,18000.0000000000
0.0131013101,18000.0000000000
0.0132013201,18000.0000000000
0.0133013301,18000.0000000000
0.0134013401,18000.0000000000
0.0135013501,18000.0000000000
0.0136013601,18000.0000000000
0.0137013701,18000.0000000000
0.0138013801,18000.0000000000
0.0139013901,18000.0000000000
0.0140014001,18000.0000000000
0.0141014101,18000.0000000000
0.0142014201,18000.0000000000
0.0143014301,18000.0000000000
0.0144014401,18000.0000000000
0.0145014501,18000.0000000000
0.0146014601,18000.0000000000
0.0147014701,18000.0000000000
0.0148014801,18000.0000000000
0.0149014901,18000.0000000000
0.0150015002,18000.0000000000
0.0151015102,18000.0000000000
0.0152015202,18000.0000000000
0.0153015302,18480.0000000000
0.0154015402,18600.0000000000
0.0155015502,18600.0000000000
0.0156015602,18600.0000000000
0.0157015702,19003.0860144876
0.0158015802,19176.0000000000
0.0159015902,19200.0000000000
0.0160016002,19200.0000000000
0.0161016102,19200.0000000000
0.0162016202,20140.7040859018
0.0163016302,20400.0000000000
0.0164016402,20400.0000000000
0.0165016502,20400.0000000000
0.0166016602,21120.0000000000
0.0167016702,21600.0000000000
0.0168016802,21600.0000000000
0.0169016902,21600.0000000000
0.0170017002,21600.0000000000
0.0171017102,21600.0000000000
0.0172017202,21600.0000000000
0.0173017302,21600.0000000000
0.0174017402,21600.0000000000
0.0175017502,21600.0000000000
0.0176017602,21600.0000000000
0.0177017702,21600.0000000000
0.0178017802,21600.0000000000
0.0179017902,21600.0000000000
0.0180018002,22152.0508002129
0.0181018102,22296.9076244883
0.0182018202,22800.0000000000
0.0183018302,22800.0000000000
0.0184018402,23792.6076123863
0.0185018502,24000.0000000000
0.0186018602,24000.0000000000
0.0187018702,24000.0000000000
0.0188018802,24000.0000000000
0.0189018902,24000.0000000000
0.0190019002,24000.0000000000
0.0191019102,24000.0000000000
0.0192019202,24000.0000000000
0.0193019302,24000.0000000000
0.0194019402,24000.0000000000
0.0195019502,24000.0000000000
0.0196019602,24000.0000000000
0.0197019702,24000.0000000000
0.0198019802,24000.0000000000
0.0199019902,24000.0000000000
0.0200020002,24000.0000000000
0.0201020102,24000.0000000000
0.0202020202,24000.0000000000
0.0203020302,24000.0000000000
0.0204020402,24000.0000000000
0.0205020502,24000.0000000000
0.0206020602,24000.0000000000
0.0207020702,24000.0000000000
0.0208020802,24000.0000000000
0.0209020902,24000.0000000000
0.0210021002,24000.0000000000
0.0211021102,24000.0000000000
0.0212021202,24000.0000000000
0.0213021302,24000.0000000000
0.0214021402,24000.0000000000
0.0215021502,24000.0000000000
0.0216021602,24000.0000000000
0.0217021702,24000.0000000000
0.0218021802,24000.0000000000
0.0219021902,24000.0000000000
0.0220022002,24000.0000000000
0.0221022102,24000.0000000000
0.0222022202,24000.0000000000
0.0223022302,24000.0000000000
0.0224022402,24000.0000000000
0.0225022502,24000.0000000000
0.0226022602,24000.0000000000
0.0227022702,24000.0000000000
0.0228022802,24000.0000000000
0.0229022902,24000.0000000000
0.0230023002,24000.0000000000
0.0231023102,24000.0000000000
0.0232023202,24000.0000000000
0.0233023302,24000.0000000000
0.0234023402,24000.0000000000
