quantile_value,income
0.0224022402,144000.0000000000
0.0225022502,144000.0000000000
0.0226022602,144000.0000000000
0.0227022702,144000.0000000000
0.0228022802,144000.0000000000
0.0229022902,144000.0000000000
0.0230023002,144000.0000000000
0.0231023102,144000.0000000000
0.0232023202,144000.0000000000
0.0233023302,144000.0000000000
0.0234023402,144000.0000000000
0.0235023502,144000.0000000000
0.0236023602,144000.0000000000
0.0237023702,144000.0000000000
0.0238023802,144023.3334196473
0.0239023902,144366.5491109242
0.0240024002,145032.2075291004
0.0241024102,145907.6763773314
0.0242024202,146880.3233587730
0.0243024302,147837.5161765807
0.0244024402,148666.6225339100
0.0245024502,149255.0101339167
0.0246024602,149493.4355906900
0.0247024702,149565.4314106345
0.0248024802,149628.8522558659
0.0249024902,149683.5278563095
0.0250025003,149729.2879418906
0.0251025103,149765.9622425346
0.0252025203,149793.3804881669
0.0253025303,149811.3724087127
0.0254025403,149819.7677340974
0.0255025503,149822.2361312128
0.0256025603,149823.9289591560
0.0257025703,149825.1020601456
0.0258025803,149825.9878553799
0.0259025903,149826.8187660572
0.0260026003,149827.8272133756
0.0261026103,149829.2456185334
0.0262026203,149831.3064027288
0.0263026303,149836.7123522361
0.0264026403,149850.6911922354
0.0265026503,149870.9558968085
0.0266026603,149894.8506201442
0.0267026703,149919.7195164312
0.0268026803,149942.9067398582
0.0269026903,149961.7564446139
0.0270027003,149973.6127848869
0.0271027103,149977.4108447925
0.0272027203,149979.8461932967
0.0273027303,149982.0032997330
0.0274027403,149983.8620440573
0.0275027503,149985.4023062258
0.0276027603,149986.6039661944
0.0277027703,149987.4469039191
0.0278027803,149987.9109993558
0.0279027903,149988.0000000000
0.0280028003,149988.0000000000
0.0281028103,149988.0000000000
0.0282028203,149988.0000000000
0.0283028303,149988.0000000000
0.0284028403,149988.0000000000
0.0285028503,149988.0000000000
0.0286028603,149988.0000000000
0.0287028703,149988.0108985417
0.0288028803,149988.6355366680
0.0289028903,149990.0329576492
0.0290029003,149991.9416009129
0.0291029103,149994.0999058869
0.0292029203,149996.2463119987
0.0293029303,149998.1192586761
0.0294029403,149999.4571853468
0.0295029503,149999.9985314384
0.0296029603,150000.0000000000
0.0297029703,150000.0000000000
0.0298029803,150000.0000000000
0.0299029903,150000.0000000000
0.0300030003,150000.0000000000
0.0301030103,150000.0000000000
0.0302030203,150000.0000000000
0.0303030303,150000.0000000000
0.0304030403,150000.0000000000
0.0305030503,150000.0000000000
0.0306030603,150000.0000000000
0.0307030703,150000.0000000000
0.0308030803,150000.0000000000
0.0309030903,150000.0000000000
0.0310031003,150000.0000000000
0.0311031103,150000.0000000000
0.0312031203,150000.0000000000
0.0313031303,150000.0000000000
0.0314031403,150000.0000000000
0.0315031503,150000.0000000000
0.0316031603,150000.0000000000
0.0317031703,150000.0000000000
0.0318031803,150000.0000000000
0.0319031903,150000.0000000000
0.0320032003,150000.0000000000
0.0321032103,150000.0000000000
0.0322032203,150000.0000000000
0.0323032303,150000.0000000000
0.0324032403,150000.0000000000
0.0325032503,150000.0000000000
0.0326032603,150000.0000000000
0.0327032703,150000.0000000000
0.0328032803,150000.0000000000
0.0329032903,150000.0000000000
0.0330033003,150000.0000000000
0.0331033103,150000.0000000000
0.0332033203,150000.0000000000
0.0333033303,150000.0000000000
0.0334033403,150000.0000000000
0.0335033503,150000.0000000000
0.0336033603,150000.0000000000
0.0337033703,150078.2676511183
0.0338033803,150298.7451961312
0.0339033903,150623.1848274277
0.0340034003,151013.2468558812
0.0341034103,151430.5915923650
0.0342034203,151836.8793477526
0.0343034303,152193.7704329172
0.0344034403,152462.9251587324
0.0345034503,152650.2527256089
0.0346034603,152834.3142341870
0.0347034703,153011.9958622022
0.0348034803,153176.6038435504
0.0349034903,153321.4444121278
0.0350035004,153439.8238018306
0.0351035104,153525.0482465549
0.0352035204,153570.4239801969
0.0353035304,153577.5567003409
0.0354035404,153579.7798843312
0.0355035504,153581.5059317190
0.0356035604,153582.8627165617
0.0357035704,153583.9781129171
0.0358035804,153584.9799948428
0.0359035904,153585.9962363961
0.0360036004,153587.1547116348
0.0361036104,153588.5814972456
0.0362036204,153590.3040487174
0.0363036304,153592.2033679694
0.0364036404,153594.1486747154
0.0365036504,153596.0091886694
0.0366036604,153597.6541295451
0.0367036704,153598.9527170564
0.0368036804,153599.7741709172
0.0369036904,153600.0000000000
0.0370037004,153600.0000000000
0.0371037104,153600.0000000000
0.0372037204,153600.0000000000
0.0373037304,153600.0000000000
0.0374037404,153600.0000000000
0.0375037504,153600.0000000000
0.0376037604,153600.0000000000
0.0377037704,153600.0000000000
0.0378037804,153600.0000000000
0.0379037904,153600.0000000000
0.0380038004,153600.0000000000
0.0381038104,153600.0000000000
0.0382038204,153600.0000000000
0.0383038304,153600.0000000000
0.0384038404,153600.0000000000
0.0385038504,153600.0000000000
0.0386038604,153600.0000000000
0.0387038704,153600.0000000000
0.0388038804,153600.0000000000
0.0389038904,153600.0000000000
0.0390039004,153600.0000000000
0.0391039104,153600.0000000000
0.0392039204,153600.0000000000
0.0393039304,153600.0000000000
0.0394039404,153600.0000000000
0.0395039504,153600.0000000000
0.0396039604,153600.0000000000
0.0397039704,153600.0000000000
0.0398039804,153600.0000000000
0.0399039904,153600.0000000000
0.0400040004,153600.0000000000
0.0401040104,153600.0000000000
0.0402040204,153615.0433862501
0.0403040304,153768.6263179483
0.0404040404,154050.9089029258
0.0405040504,154415.6681568415
0.0406040604,154816.6810953539
0.0407040704,155207.7247341219
0.0408040804,155542.5760888041
0.0409040904,155775.0121750592
0.0410041004,155862.6999931046
0.0411041104,155893.3795511854
0.0412041204,155920.5737331703
0.0413041304,155944.0942154472
0.0414041404,155963.7526744040
0.0415041504,155979.3607864287
0.0416041604,155990.7302279092
0.0417041704,155997.6726752334
0.0418041804,156000.0000000000
0.0419041904,156000.0000000000
0.0420042004,156000.0000000000
0.0421042104,156000.0000000000
0.0422042204,156000.0000000000
0.0423042304,156000.0000000000
0.0424042404,156000.0000000000
0.0425042504,156000.0000000000
0.0426042604,156000.0000000000
0.0427042704,156000.0000000000
0.0428042804,156000.0000000000
0.0429042904,156000.0000000000
0.0430043004,156000.0000000000
0.0431043104,156000.0000000000
0.0432043204,156000.0000000000
